CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,內湖區,6301000,2018-07-24,09:00:00,31,28,80,偏北風,0,<= 1,37,短暫陣雨,26,40,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,12:00:00,32,29,85,西北風,3,2,37,短暫陣雨,26,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,15:00:00,31,28,82,偏西風,2,<= 1,36,陰,03,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,18:00:00,30,27,84,偏西風,2,<= 1,35,陰,03,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,21:00:00,29,28,92,偏東風,1,<= 1,34,陰,03,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,00:00:00,29,28,94,東北風,1,<= 1,34,陰,03,20,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,03:00:00,28,28,98,東南風,1,<= 1,33,多雲,02,20,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,06:00:00,28,26,92,西南風,1,<= 1,32,短暫陣雨,26,60,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,09:00:00,31,28,80,偏西風,0,<= 1,37,短暫陣雨,26,60,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,12:00:00,34,31,80,西北風,2,<= 1,41,短暫陣雨或雷雨,36,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,15:00:00,33,27,71,偏西風,1,<= 1,38,短暫陣雨或雷雨,36,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,18:00:00,32,27,76,偏南風,2,<= 1,37,多雲,02,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,21:00:00,30,26,79,西北風,1,<= 1,35,多雲,02,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-23,00:00:00,30,27,83,偏西風,2,2,34,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,03:00:00,29,27,89,偏西風,2,<= 1,33,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,06:00:00,28,27,90,偏西風,2,2,33,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,09:00:00,32,29,88,偏西風,2,2,37,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,12:00:00,34,31,88,偏南風,0,<= 1,40,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,15:00:00,33,31,89,東南風,2,2,41,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,18:00:00,32,30,91,偏北風,1,<= 1,37,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,21:00:00,30,29,93,西北風,1,<= 1,36,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-24,00:00:00,29,29,96,西北風,1,<= 1,35,陰,03,30,60,2018-07-21
臺北市,大同區,6300600,2018-07-24,03:00:00,29,28,94,偏西風,1,<= 1,34,短暫陣雨,26,30,60,2018-07-21
臺北市,大同區,6300600,2018-07-24,06:00:00,29,26,84,西南風,1,<= 1,33,短暫陣雨,26,60,60,2018-07-21
臺北市,大同區,6300600,2018-07-24,09:00:00,32,28,80,偏西風,1,<= 1,37,短暫陣雨,26,60,60,2018-07-21
臺北市,文山區,6300800,2018-07-21,12:00:00,30,28,88,西北風,2,2,35,短暫陣雨,26,40,40,2018-07-21
臺北市,文山區,6300800,2018-07-21,15:00:00,30,26,83,偏西風,1,<= 1,34,陰,03,40,40,2018-07-21
臺北市,文山區,6300800,2018-07-21,18:00:00,28,25,84,偏西風,1,<= 1,32,陰,03,20,40,2018-07-21
臺北市,文山區,6300800,2018-07-21,21:00:00,27,25,91,偏東風,1,<= 1,31,陰,03,20,40,2018-07-21
臺北市,文山區,6300800,2018-07-22,00:00:00,26,25,95,偏東風,1,<= 1,30,多雲,02,20,60,2018-07-21
臺北市,文山區,6300800,2018-07-22,03:00:00,25,25,98,偏北風,1,<= 1,29,多雲,02,20,60,2018-07-21
臺北市,文山區,6300800,2018-07-22,06:00:00,25,23,91,西北風,0,<= 1,29,短暫陣雨,26,60,60,2018-07-21
臺北市,文山區,6300800,2018-07-22,09:00:00,29,26,80,偏東風,0,<= 1,34,短暫陣雨,26,60,60,2018-07-21
臺北市,文山區,6300800,2018-07-22,12:00:00,32,29,80,偏西風,2,<= 1,39,短暫陣雨或雷雨,36,60,60,2018-07-21
臺北市,文山區,6300800,2018-07-22,15:00:00,32,27,76,偏西風,1,<= 1,36,多雲,02,60,60,2018-07-21
臺北市,文山區,6300800,2018-07-22,18:00:00,29,26,80,偏西風,1,<= 1,34,多雲,02,20,60,2018-07-21
臺北市,文山區,6300800,2018-07-22,21:00:00,28,25,83,西北風,1,<= 1,32,陰,03,20,60,2018-07-21
臺北市,文山區,6300800,2018-07-23,00:00:00,27,24,86,偏西風,2,<= 1,31,陰,03,20,20,2018-07-21
臺北市,文山區,6300800,2018-07-23,03:00:00,26,25,93,西北風,1,<= 1,30,陰,03,20,20,2018-07-21
臺北市,文山區,6300800,2018-07-23,06:00:00,26,24,92,偏西風,1,<= 1,29,陰,03,20,20,2018-07-21
臺北市,文山區,6300800,2018-07-23,09:00:00,30,27,88,偏西風,2,<= 1,35,陰,03,20,20,2018-07-21
臺北市,文山區,6300800,2018-07-23,12:00:00,32,30,89,東南風,1,<= 1,38,短暫陣雨或雷雨,36,50,50,2018-07-21
臺北市,文山區,6300800,2018-07-23,15:00:00,32,30,90,東南風,2,<= 1,39,陰,03,50,50,2018-07-21
臺北市,文山區,6300800,2018-07-23,18:00:00,30,28,91,東南風,1,<= 1,35,陰,03,20,50,2018-07-21
臺北市,文山區,6300800,2018-07-23,21:00:00,28,26,92,西南風,1,<= 1,32,陰,03,20,50,2018-07-21
臺北市,文山區,6300800,2018-07-24,00:00:00,27,26,94,西北風,1,<= 1,31,陰,03,20,70,2018-07-21
臺北市,文山區,6300800,2018-07-24,03:00:00,26,25,92,西北風,1,<= 1,30,多雲,02,20,70,2018-07-21
臺北市,文山區,6300800,2018-07-24,06:00:00,26,23,83,偏北風,1,<= 1,29,多雲,02,70,70,2018-07-21
臺北市,文山區,6300800,2018-07-24,09:00:00,30,26,80,偏北風,0,<= 1,35,短暫陣雨,26,70,70,2018-07-21
臺北市,士林區,6301100,2018-07-21,12:00:00,31,28,86,西北風,2,2,36,短暫陣雨,26,50,50,2018-07-21
