107.06.27,木瓜-網室紅肉,鳳山區,15.0,13070.0
107.06.27,西瓜-黃肉,三重區,12.7,13065.0
107.06.27,奇異果-進口,台中市,125.0,12788.0
107.06.27,冬瓜-白皮,台北一,6.8,12679.0
107.06.27,芒果-紅龍玉文,台中市,31.2,12608.0
107.06.27,火龍果-紅肉,台北二,37.9,12418.0
107.06.27,奇異果-進口,三重區,96.4,12360.0
107.06.27,鳳梨-金鑽鳳梨,高雄市,12.5,12279.0
107.06.27,莧菜-白莧菜,台北一,32.0,12235.0
107.06.27,竹筍-綠竹筍,台北一,73.3,12230.0
107.06.27,西瓜-大西瓜,板橋區,8.0,12225.0
107.06.27,玉米-甜軟殼,台北一,14.2,12180.0
107.06.27,火龍果-紅肉,高雄市,23.8,12169.0
107.06.27,西瓜-大西瓜,嘉義市,10.0,12000.0
107.06.27,雜柑-檸檬,台中市,23.9,11997.0
107.06.27,梨-蜜梨,台中市,55.5,11962.0
107.06.27,香蕉,板橋區,17.4,11760.0
107.06.27,香蕉,高雄市,19.7,11660.0
107.06.27,火龍果-白肉,台北一,35.0,11652.0
107.06.27,蕃茄-牛蕃茄,台北二,24.6,11641.0
107.06.27,胡蘿蔔-清洗,高雄市,14.2,11590.0
107.06.27,芒果-紅龍玉文,三重區,27.1,11583.0
107.06.27,梨-秋水梨,三重區,23.1,11548.5
107.06.27,芒果-金煌,台北一,34.2,11527.0
107.06.27,甘藍-改良種,豐原區,5.66,11510.0
107.06.27,芒果-紅龍玉文,台北一,30.2,11455.0
107.06.27,火龍果-白肉,三重區,33.0,11185.0
107.06.27,萵苣菜-油麥菜,台北一,25.7,11180.0
107.06.27,蘋果-富士(進口),板橋區,47.4,11164.0
107.06.27,西瓜-大西瓜,台北二,11.5,11050.0
107.06.27,冬瓜-白皮,溪湖鎮,8.0,10966.0
107.06.27,甜瓜-美濃,台中市,34.5,10867.0
107.06.27,雜柑-無子檸檬,台北一,14.0,10812.0
107.06.27,鳳梨-甜蜜蜜,台北二,16.4,10680.0
107.06.27,西瓜-紅肉,台中市,9.8,10588.0
107.06.27,包心白-進口,台北二,11.8,10234.0
107.06.27,扁蒲-花蒲,溪湖鎮,7.4,10219.0
107.06.27,奇異果-進口,台北一,79.5,10212.0
107.06.27,包心白菜-包白,高雄市,22.6,10030.0
107.06.27,竹筍-麻竹筍,台北一,23.3,10025.0
107.06.27,蘋果-富士(進口),高雄市,65.1,9964.0
107.06.27,苦瓜-白大米,屏東市,16.5,9792.0
107.06.27,西瓜-秀鈴,三重區,8.1,9743.0
107.06.27,西瓜-黃肉,高雄市,8.8,9735.0
107.06.27,桃子-進口,三重區,195.9,9730.0
107.06.27,馬鈴薯-本產,台北一,23.3,9589.0
107.06.27,胡蘿蔔-清洗,台北二,12.5,9570.0
107.06.27,蕃茄-牛蕃茄,高雄市,27.7,9560.0
107.06.27,梨-豐水梨,台中市,57.5,9516.0
107.06.27,芽菜類-綠豆芽,高雄市,15.0,9350.0
107.06.27,芒果-金煌,鳳山區,13.8,9340.0
107.06.27,梨-新興梨,台中市,53.0,9298.0
107.06.27,芒果-愛文,高雄市,36.9,9209.0
107.06.27,洋香瓜-網狀紅肉,台北一,21.7,9043.0
107.06.27,香蕉-芭蕉,三重區,21.2,9001.0
107.06.27,甘藍-改良種,桃農,4.2,8960.0
107.06.27,包心白菜-包白,桃農,4.0,8920.0
107.06.27,芽菜類-綠豆芽,台北一,12.2,8905.0
107.06.27,木瓜-網室紅肉,高雄市,18.9,8844.0
107.06.27,青花苔-進口,台北一,56.7,8796.0
107.06.27,甘藍-改良種,台中市,4.3,8720.0
107.06.27,絲瓜-絲瓜,溪湖鎮,19.0,8648.0
107.06.27,甘藍-改良種,板橋區,5.3,8590.0
107.06.27,蘿蔔-進口,台北二,16.7,8530.0
107.06.27,西瓜-秀鈴,台北一,8.5,8422.0
107.06.27,芒果-金煌,台北二,34.7,8384.0
107.06.27,火龍果-白肉,台中市,32.9,8383.0
107.06.27,油菜,台北一,36.7,8362.0
107.06.27,西瓜-黑美人,嘉義市,8.0,8300.0
107.06.27,芒果-愛文,鳳山區,33.5,8240.0
107.06.27,苦瓜-其他,台北一,16.5,8096.0
107.06.27,甜瓜-美濃,三重區,16.3,8063.0
107.06.27,小番茄-聖女,台中市,34.1,8046.0
107.06.27,甘藍-初秋,台東市,10.0,7931.0
107.06.27,洋蔥-本產,高雄市,14.4,7926.0
107.06.27,甜瓜-美濃,鳳山區,13.4,7910.0
107.06.27,隼人瓜苗-瓜苗,台北一,41.3,7872.0
107.06.27,西瓜-鳳光、英妙,台中市,9.1,7740.0
107.06.27,包心白-進口,高雄市,17.8,7734.0
