澎湖地方特色海洋資源展,(中華民國)無實體展演者,2018/01/01,2018/12/31
澎湖生活博物館常設展,(中華民國)無實體展演者,2018/01/01,2018/12/31
澎湖開拓館常設展,(中華民國)本活動無實體展演者,2018/01/01,2018/12/31
二呆藝術展,(中華民國)無實體展演者,2018/01/01,2018/12/31
大嶼常民生活文物常設展,(中華民國)無實體展演者,2018/01/01,2018/12/31
花蓮縣文化局107年度「跨視域─典藏新貌展」,(中華民國)花蓮縣文化局,2018/01/01,2018/12/31
二呆藝館【無人問】特展,(中華民國)無實體展演者,2018/01/01,2018/12/23
【新北市立圖書館萬里分館】許捷芳「東北角地質景觀攝影個展」,(中華民國)許捷芳,2018/01/02,2018/12/31
戲劇展《從幕後到台前》,(中華民國)臺北市藝文推廣處,2018/01/01,2018/12/31
《傳統藝師林金鍊傀儡戲 藝術特展》,(中華民國)林金鍊,2018/01/01,2018/06/30
民主共和國之父－孫中山,(中華民國)國父紀念館,2018/01/01,2018/12/31
孫中山與臺灣,(中華民國)國立國父紀念館,2018/01/01,2018/12/31
漁業文物展,(中華民國)彰化區漁會,2018/01/01,2018/12/31
蚵藝作品常態展,(中華民國)王功蚵藝文化館,2018/01/01,2018/12/31
「四面亮麗，八方驚奇」玻璃特展,(中華民國)台灣玻璃館,2018/01/01,2018/12/31
織帶紡織品文物常態特展,(中華民國)縉陽織帶文化園區,2018/01/01,2018/12/31
光復初期台灣戶籍資料展（花壇鄉戶政事務所）,(中華民國)彰化縣文化局,2018/01/01,2018/12/31
鹿港鎮史文物常態展,(中華民國)鹿港鎮公所,2018/01/01,2018/12/31
醫學博物館(常態)展覽- 我們的身體,(中華民國)彰濱秀傳健康園區,2018/01/01,2018/12/31
彰化文學館展覽,(中華民國)彰化文學館,2018/01/01,2018/12/31
南北管文物樂器典藏常態展,(中華民國)南北管音樂戲曲館,2018/01/01,2018/12/31
彰化縣立圖書館-書道館常態特展,(中華民國)彰化縣文化局,2018/01/01,2018/12/31
彰化縣縣史常態特展,(中華民國)彰化縣文化局,2018/01/01,2018/12/31
彰化縣1895八卦山抗日保台史蹟常態展,(中華民國)彰化縣文化局,2018/01/01,2018/12/31
原住民族文物常態展,(中華民國)彰化縣原住民生活館,2018/01/01,2018/12/31
鹿港民俗文物典藏展,(中華民國)鹿港民俗文物館,2018/01/01,2018/12/31
元清觀民俗文物常態特展,(中華民國)元清觀民藝館,2018/01/01,2018/12/31
鎮館之寶─古月井記碑常態展,(中華民國)彰化市古月民俗館,2018/01/01,2018/12/31
賴和文物常態展,(中華民國)賴和文教基金會,2018/01/01,2018/12/31
探索「白蘭氏鷄精」生產過程導覽,(中華民國)白蘭氏健康博物館,2018/01/01,2018/12/31
呂碧銓文物常態展（田中鎮碧銓文物館）,(中華民國)田中鎮公所,2018/01/01,2018/12/31
與稻香共生常態展─中興穀堡：稻米博物館,(中華民國)稻米博物館,2018/01/01,2018/12/31
員林市警察故事館展覽,(中華民國)彰化縣員林市公所,2018/01/01,2018/12/31
捏麵作品常態展（巫家捏麵館）,(中華民國)巫家捏麵館,2018/01/01,2018/12/31
媽袓文物展,(中華民國)彰化市公所,2018/01/01,2018/12/31
彰化基督教醫院院史文物展,(中華民國)彰化基督教醫院,2018/01/01,2018/12/31
蘭大弼根的故事常態展,(中華民國)彰化基督教醫院,2018/01/01,2018/12/31
二二八‧0306,(中華民國)高雄市立歷史博物館,2018/01/01,2018/12/31
皮影戲館常設展 ,(中華民國)高雄市立歷史博物館,2018/01/01,2018/12/31
台灣風景、生態之美攝影聯展,(中華民國)南投縣貓羅溪社區大學數位攝影班成員,2018/01/10,2018/06/30
大溪木博館新展：「壹」起走過─壹號館與大溪初等教育的起源 (20171107-20181231),(中華民國)桃園市立大溪木藝生態博物館,2018/01/01,2018/12/31
「大溪人的生活與歷史」常設展,(中華民國)桃園市立大溪木藝生態博物館,2018/01/01,2018/12/31
戰爭與和平紀念館文物常設展,(中華民國)關懷台籍老兵文化協會,2018/01/01,2018/12/31
高雄市左營孔子廟常設展,(中華民國)高雄市立歷史博物館,2018/01/01,2018/12/31
打狗鐵道故事館文物常設展,(中華民國)高雄市立歷史博物館,2018/01/01,2018/12/31
打狗英國領事館文化園區常設展,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
國定古蹟原日本海軍鳳山無線電信所常設展,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
橋仔頭糖廠糖業博物館常設展,(中華民國)臺灣糖業股份有限公司高雄區處,2018/01/01,2018/12/31
「大溪木器馨-職人工藝傳說」常設展,(中華民國)桃園市立大溪木藝生態博物館,2018/01/01,2018/12/31
老宅開門--李騰芳古宅開館展,(中華民國)桃園市立大溪木藝生態博物館,2018/01/01,2018/12/31
歷史建築原頂林仔邊警察官吏派出所－林園歷史教室常設展,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
旗山車站糖鐵故事館常設展,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
新書特展,(中華民國)高雄市立圖書館大樹二館,2018/01/02,2018/12/30
市定古蹟鳳儀書院常設展,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
創造之湧泉,(中華民國)富永泰雄,2018/01/01,2018/12/31
快樂時光─旺旺與發發,(中華民國)賴純純,2018/01/01,2018/12/31
鳳山歷史教室常設展,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
北港迓媽祖特展,(中華民國)北港文化中心,2018/01/01,2018/12/31
我愛書畫簡聰敏・收藏書畫展－雲林縣警察局系列第4回（雲林縣警察局）,(中華民國)簡聰敏,2018/01/04,2018/06/28
我愛書畫簡聰敏・收藏書畫展－斗六戶政事務所系列第28回（斗六戶政事務所）,(中華民國)簡聰敏,2018/01/05,2018/06/29
主題書展－「歡喜迎新年」 ,(中華民國)雲林縣政府文化處,2018/01/01,2018/12/31
木藝堂－偶藝論春秋特展,(中華民國)雲林布袋戲館,2018/01/01,2018/12/31
掌中風雲　叱吒武林展,(中華民國)雲林布袋戲館,2018/01/01,2018/12/31
音樂的慰藉：臺灣原住民現代歌謠中的共享記憶特展,(中華民國)國立臺灣史前文化博物館,2018/02/09,2018/12/31
音樂的慰藉：臺灣原住民現代歌謠中的共享記憶特展,(中華民國)國立臺灣史前文化博物館,2019/01/01,2019/03/08
學童「3D 列印科學生活營」作品展示,(中華民國)國立臺灣史前文化博物館,2018/01/01,2018/12/31
史前國寶文創設計獎,(中華民國)國立臺灣史前文化博物館,2018/01/01,2018/12/31
新書特展,(中華民國)高雄市立圖書館大樹三館,2018/01/03,2018/12/30
幼愛閱及喜閱網及愛閱網書展,(中華民國)高雄市立圖書館草衙分館,2018/01/02,2018/12/30
環保畫家陳瑞瑚特展,(中華民國)陳瑞瑚,2018/01/02,2018/12/30
┋編故事┋刺繡創作展覽WeavingstoryEmbroideryExhibition說說刺繡工作室,,2018/01/26,2018/07/01
【新店文史館】新店老地名故事館年度主題特展,(中華民國)新店文史館,2018/01/02,2018/10/30
「神界．人間」臺史博館藏神像特展,(中華民國)國立臺灣歷史博物館,2018/01/09,2018/08/26
南島民族木雕展區等（一館二樓常設展）,(中華民國)苗栗縣政府國際文化觀光局,2018/01/02,2018/12/31
寺廟神像（二館二樓常設展）,(中華民國)苗栗縣政府國際文化觀光局,2018/01/02,2018/12/31
森林區、雕刻藝術的起源（一館一樓常設展）,(中華民國)苗栗縣政府國際文化觀光局,2018/01/02,2018/12/31
臺灣客家四百年常設展,(中華民國)客家委員會客家文化發展中心,2018/01/01,2018/12/31
走入布袋戲-操偶體驗暨虛擬實境展示,(中華民國)台中文化創意產業園區,2018/01/01,2018/12/16
小學生知識加油站-分年級好書展,(中華民國)國立公共資訊圖書館,2018/01/02,2018/12/30
縈青繚白──安陽隋唐墓瓷器特展,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/12/31
雷電以風──甲骨文天氣預測特展,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/12/31
人民力量 打破禁忌：二二八平反與轉型正義特展,(中華民國)二二八國家紀念館,2018/01/01,2018/12/31
他們的年代 史蹟穿越 特展,(中華民國)二二八國家紀念館,2018/01/01,2018/12/31
二二八事件常態展,(中華民國)二二八國家紀念館,2018/01/01,2018/12/31
圖簿裡的歷史軌跡－山佳車站回顧展,(中華民國)新北市樹林地政事務所,2018/01/01,2018/12/31
雅石展,(中華民國)薛大陸,2018/01/01,2018/12/31
新北市立鶯歌陶瓷博物館常設展,(中華民國)新北市立鶯歌陶瓷博物館,2018/01/01,2018/12/31
早安淡水－早安博物館活動,(中華民國)新北市立淡水古蹟博物館,2018/01/15,2018/12/14
愛心滿紅城－社福團體文化體驗之旅,(中華民國)新北市立淡水古蹟博物館,2018/01/15,2018/12/14
「從心出發，看自己也看世界」攝影展,(中華民國)沈元福;(中華民國)連世昌;(中華民國)黃文真,2018/01/08,2018/06/30
人之初‧藝之美─典藏石雕特展,(中華民國)花蓮縣文化局,2018/01/01,2018/12/31
愛的日常 - 張惠蘭個展,(中華民國)張惠蘭,2018/01/01,2018/12/11
石鼓燈箱展示─皮影戲系列,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
Meet Taiwan Contemporary Art at Twin Oaks,藝術銀行、駐美國經濟文化代表處臺灣書院,2018/02/01,2018/06/30
乘浪上港特展,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
由愛生根~葉由根神父故事特展,(中華民國)新竹縣政府文化局,2018/01/01,2018/07/31
軍事法庭 空間復原展示 ,(中華民國)國家人權博物館,2018/01/01,2018/12/31
「春天藝術節」主題書展,(中華民國)高雄市立圖書館總館,2018/01/23,2018/06/30
