證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1530,亞崴            ,2.28,105,32.61,1.14,106/1
1531,高林股          ,3.11,105,31.64,0.95,106/1
1532,勤美            ,5.35,105,12.45,1.03,106/1
1533,車王電          ,0.51,105,115.15,1.8,106/1
1535,中宇            ,4.14,105,27.53,1.72,106/1
1536,和大            ,2.53,105,31.55,5.44,106/1
1537,廣隆            ,5.64,105,14.24,3.54,106/1
1538,正峰新          ,0,105,-,1.02,106/1
1539,巨庭            ,5.39,105,13.57,1.35,106/1
1540,喬福            ,6.54,105,"1,530.00",0.95,106/1
1541,錩泰            ,6.48,105,15.96,3.17,106/1
1558,伸興            ,7.06,105,11.97,1.84,106/1
1560,中砂            ,4.07,105,17.63,2.64,106/1
1568,倉佑            ,3,105,24.51,2.67,106/1
1582,信錦            ,7.79,105,11.48,1.94,106/1
1583,程泰            ,1.64,105,38.54,1.77,106/1
1589,永冠-KY         ,3.77,105,13.12,1.11,106/1
1590,亞德客-KY       ,1.47,105,31.16,6.08,106/1
1592,英瑞-KY         ,4.97,105,10.87,1.44,106/1
1598,岱宇            ,5.59,105,24.58,1.66,106/1
1603,華電            ,1.86,105,13.7,0.87,106/1
1604,聲寶            ,8.14,105,12.84,1.15,106/1
1605,華新            ,5.58,105,9.23,0.66,106/1
1608,華榮            ,0,105,19.36,0.57,106/1
1609,大亞            ,0,105,17.58,0.56,106/1
1611,中電            ,0,105,-,0.71,106/1
1612,宏泰            ,2.99,105,19.08,0.65,106/1
1614,三洋電          ,4.18,105,23.68,1.25,106/1
1615,大山            ,6.76,105,11.21,0.82,106/1
1616,億泰            ,0,105,55.4,0.62,106/1
1617,榮星            ,4.17,105,15.98,0.89,106/1
1618,合機            ,3.57,105,35.04,0.51,106/1
1626,艾美特-KY       ,3.43,105,12.46,1.38,106/1
1701,中化            ,3.23,105,18.06,1,106/1
1702,南僑            ,4.26,105,14.45,3.04,106/1
1704,榮化            ,7.09,105,9.12,1.37,106/1
1707,葡萄王          ,3.29,105,20.58,5.29,106/1
1708,東鹼            ,3.41,105,9.92,1.07,106/1
1709,和益            ,8.31,105,10.81,1.19,106/1
1710,東聯            ,0.78,105,-,1.64,106/1
1711,永光            ,2.76,105,24.46,1.28,106/1
1712,興農            ,5.91,105,11.12,0.99,106/1
1713,國化            ,3.73,105,23.56,1.02,106/1
1714,和桐            ,4.23,105,21.23,0.74,106/1
