日 期,NTD/USD
2018-07-13,30.556
2018-07-12,30.542
2018-07-11,30.481
2018-07-10,30.403
2018-07-09,30.386
2018-07-06,30.500
2018-07-05,30.540
2018-07-04,30.501
2018-07-03,30.586
2018-07-02,30.523
2018-06-29,30.500
2018-06-28,30.586
2018-06-27,30.454
2018-06-26,30.412
2018-06-25,30.403
