資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180622,0058,16,0,0,0.00
20180622,0058,17,68,4196000,100.00
20180622,0059,1,18,1721,0.03
20180622,0059,2,82,151000,3.03
20180622,0059,3,13,126000,2.53
20180622,0059,4,3,43000,0.86
20180622,0059,5,2,40000,0.80
20180622,0059,6,1,26000,0.52
20180622,0059,7,1,31000,0.62
20180622,0059,8,0,0,0.00
20180622,0059,9,3,169279,3.40
20180622,0059,10,2,371000,7.46
20180622,0059,11,0,0,0.00
20180622,0059,12,0,0,0.00
20180622,0059,13,0,0,0.00
20180622,0059,14,0,0,0.00
20180622,0059,15,1,4014000,80.71
20180622,0059,16,0,0,0.00
20180622,0059,17,126,4973000,100.00
20180622,0061,1,515,158212,0.03
20180622,0061,2,10718,26078866,6.51
20180622,0061,3,3080,26175865,6.54
20180622,0061,4,1044,13826538,3.45
20180622,0061,5,916,17392800,4.34
20180622,0061,6,821,21657699,5.41
20180622,0061,7,441,16273068,4.06
20180622,0061,8,357,16964000,4.23
20180622,0061,9,612,45784732,11.44
20180622,0061,10,280,40522288,10.12
20180622,0061,11,121,33260000,8.31
20180622,0061,12,40,19723893,4.92
20180622,0061,13,21,15043000,3.75
20180622,0061,14,2,1722000,0.43
20180622,0061,15,36,105533039,26.37
20180622,0061,16,0,0,0.00
20180622,0061,17,19004,400116000,100.00
20180622,006201,1,27,2336,0.01
20180622,006201,2,519,1209994,7.83
20180622,006201,3,157,1410000,9.12
20180622,006201,4,26,335670,2.17
20180622,006201,5,37,714000,4.62
20180622,006201,6,17,458000,2.96
20180622,006201,7,8,300000,1.94
20180622,006201,8,5,242000,1.56
20180622,006201,9,6,372000,2.40
20180622,006201,10,5,710000,4.59
20180622,006201,11,3,995000,6.44
20180622,006201,12,1,525000,3.39
20180622,006201,13,1,714000,4.62
20180622,006201,14,0,0,0.00
20180622,006201,15,2,7458000,48.28
20180622,006201,16,0,0,0.00
20180622,006201,17,814,15446000,100.00
20180622,006203,1,8,1000,0.01
20180622,006203,2,82,127000,1.64
20180622,006203,3,3,27000,0.34
20180622,006203,4,2,27000,0.34
20180622,006203,5,3,53000,0.68
20180622,006203,6,0,0,0.00
20180622,006203,7,0,0,0.00
20180622,006203,8,1,44000,0.57
20180622,006203,9,0,0,0.00
20180622,006203,10,0,0,0.00
20180622,006203,11,2,497000,6.43
20180622,006203,12,1,442000,5.72
20180622,006203,13,0,0,0.00
20180622,006203,14,0,0,0.00
20180622,006203,15,1,6500000,84.21
20180622,006203,16,0,0,0.00
20180622,006203,17,103,7718000,100.00
20180622,006204,1,108,9607,0.32
20180622,006204,2,169,307312,10.24
20180622,006204,3,16,132521,4.41
20180622,006204,4,1,12000,0.40
20180622,006204,5,3,56131,1.87
20180622,006204,6,3,84000,2.80
20180622,006204,7,0,0,0.00
20180622,006204,8,2,96000,3.20
20180622,006204,9,0,0,0.00
20180622,006204,10,0,0,0.00
20180622,006204,11,1,279000,9.30
20180622,006204,12,0,0,0.00
20180622,006204,13,0,0,0.00
20180622,006204,14,1,890429,29.68
20180622,006204,15,1,1133000,37.76
20180622,006204,16,0,0,0.00
20180622,006204,17,305,3000000,100.00
20180622,006205,1,5921,2319045,0.47
20180622,006205,2,12699,28464804,5.86
20180622,006205,3,2809,22931577,4.72
20180622,006205,4,905,11903064,2.45
20180622,006205,5,716,13394985,2.76
20180622,006205,6,622,16248110,3.34
20180622,006205,7,367,13250545,2.73
20180622,006205,8,263,12477324,2.57
20180622,006205,9,438,31976002,6.58
20180622,006205,10,174,24947920,5.14
20180622,006205,11,58,16717532,3.44
20180622,006205,12,30,15362468,3.16
20180622,006205,13,13,9046042,1.86
20180622,006205,14,12,10938000,2.25
20180622,006205,15,40,255268582,52.60
20180622,006205,16,0,0,0.00
20180622,006205,17,25067,485246000,100.00
20180622,006206,1,1040,435738,0.21
20180622,006206,2,5356,12483704,6.20
20180622,006206,3,1272,10620130,5.27
20180622,006206,4,438,5799607,2.88
20180622,006206,5,368,6922739,3.43
20180622,006206,6,318,8413454,4.18
20180622,006206,7,149,5367729,2.66
20180622,006206,8,104,4931383,2.45
20180622,006206,9,182,13350474,6.63
20180622,006206,10,76,10429160,5.18
20180622,006206,11,38,11001921,5.46
20180622,006206,12,9,4319000,2.14
20180622,006206,13,0,0,0.00
20180622,006206,14,3,2729000,1.35
20180622,006206,15,18,104473961,51.90
20180622,006206,16,0,0,0.00
20180622,006206,17,9371,201278000,100.00
20180622,006207,1,108,32673,0.02
20180622,006207,2,3256,7811135,5.54
20180622,006207,3,898,7449112,5.28
20180622,006207,4,313,4119090,2.92
20180622,006207,5,268,5072136,3.60
20180622,006207,6,269,6962000,4.94
20180622,006207,7,146,5212759,3.69
20180622,006207,8,107,5014622,3.55
20180622,006207,9,197,14846429,10.53
20180622,006207,10,101,14513558,10.30
20180622,006207,11,42,11882000,8.43
20180622,006207,12,9,4449000,3.15
20180622,006207,13,4,2785000,1.97
20180622,006207,14,4,3796000,2.69
20180622,006207,15,17,46946486,33.32
20180622,006207,16,0,0,0.00
20180622,006207,17,5739,140892000,100.00
20180622,006208,1,2741,781329,3.31
20180622,006208,2,594,993707,4.22
20180622,006208,3,23,181905,0.77
20180622,006208,4,4,45868,0.19
20180622,006208,5,7,122971,0.52
20180622,006208,6,5,135000,0.57
20180622,006208,7,2,72000,0.30
20180622,006208,8,1,49220,0.20
20180622,006208,9,2,154000,0.65
20180622,006208,10,0,0,0.00
20180622,006208,11,0,0,0.00
20180622,006208,12,0,0,0.00
20180622,006208,13,0,0,0.00
20180622,006208,14,0,0,0.00
20180622,006208,15,1,21004000,89.22
20180622,006208,16,0,0,0.00
20180622,006208,17,3380,23540000,100.00
20180622,00625K,1,0,0,0.00
20180622,00625K,2,9,24000,4.56
20180622,00625K,3,1,10000,1.90
20180622,00625K,4,0,0,0.00
20180622,00625K,5,2,36000,6.84
20180622,00625K,6,1,28000,5.32
20180622,00625K,7,3,113000,21.48
20180622,00625K,8,2,93000,17.68
20180622,00625K,9,1,53000,10.07
20180622,00625K,10,1,169000,32.12
20180622,00625K,11,0,0,0.00
20180622,00625K,12,0,0,0.00
20180622,00625K,13,0,0,0.00
20180622,00625K,14,0,0,0.00
20180622,00625K,15,0,0,0.00
20180622,00625K,16,0,0,0.00
20180622,00625K,17,20,526000,100.00
20180622,00631L,1,40,3189,0.01
20180622,00631L,2,716,1500000,6.64
20180622,00631L,3,154,1235911,5.47
20180622,00631L,4,56,733900,3.24
20180622,00631L,5,44,827000,3.66
20180622,00631L,6,36,947000,4.19
20180622,00631L,7,13,472000,2.08
20180622,00631L,8,15,712000,3.15
20180622,00631L,9,26,1900000,8.41
20180622,00631L,10,14,1880000,8.32
20180622,00631L,11,4,1113000,4.92
20180622,00631L,12,1,573000,2.53
20180622,00631L,13,1,660000,2.92
20180622,00631L,14,3,2745000,12.15
20180622,00631L,15,4,7282000,32.24
20180622,00631L,16,0,0,0.00
20180622,00631L,17,1127,22584000,100.00
20180622,00632R,1,121,30039,0.00
20180622,00632R,2,16577,46960197,1.05
20180622,00632R,3,9384,78850292,1.76
20180622,00632R,4,4649,61770692,1.38
20180622,00632R,5,4564,85943664,1.92
20180622,00632R,6,5175,136300240,3.05
20180622,00632R,7,3299,120686492,2.70
20180622,00632R,8,2644,124291626,2.78
20180622,00632R,9,6158,456757849,10.23
20180622,00632R,10,3655,530037861,11.87
20180622,00632R,11,1925,542557040,12.15
20180622,00632R,12,548,271530508,6.08
20180622,00632R,13,245,170900000,3.82
20180622,00632R,14,146,133734000,2.99
20180622,00632R,15,348,1703798500,38.16
20180622,00632R,16,0,0,0.00
20180622,00632R,17,59438,4464149000,100.00
20180622,00633L,1,87,16288,0.00
20180622,00633L,2,8587,22079952,2.46
20180622,00633L,3,3294,27228494,3.03
20180622,00633L,4,1443,19113730,2.13
20180622,00633L,5,1251,23441906,2.61
20180622,00633L,6,1291,33454306,3.73
20180622,00633L,7,736,26761158,2.98
20180622,00633L,8,554,26017958,2.90
20180622,00633L,9,1168,85425709,9.52
20180622,00633L,10,597,85878000,9.57
20180622,00633L,11,282,80060000,8.93
20180622,00633L,12,92,45421000,5.06
20180622,00633L,13,45,31170000,3.47
20180622,00633L,14,26,23368000,2.60
20180622,00633L,15,79,367021499,40.94
20180622,00633L,16,0,0,0.00
20180622,00633L,17,19532,896458000,100.00
20180622,00634R,1,29,4010,0.00
20180622,00634R,2,767,1927193,3.72
20180622,00634R,3,234,1938097,3.74
20180622,00634R,4,94,1247600,2.41
20180622,00634R,5,97,1816100,3.50
20180622,00634R,6,86,2216000,4.28
20180622,00634R,7,52,1930000,3.72
20180622,00634R,8,42,1959000,3.78
20180622,00634R,9,85,6340000,12.24
20180622,00634R,10,30,4444000,8.58
20180622,00634R,11,26,7761000,14.99
20180622,00634R,12,4,2044000,3.94
20180622,00634R,13,2,1405000,2.71
20180622,00634R,14,3,2755000,5.32
20180622,00634R,15,8,13969000,26.99
20180622,00634R,16,0,0,0.00
20180622,00634R,17,1559,51756000,100.00
20180622,00635U,1,148,43740,0.09
20180622,00635U,2,2401,5434870,12.07
20180622,00635U,3,523,4331919,9.62
20180622,00635U,4,163,2164011,4.80
20180622,00635U,5,122,2312566,5.13
20180622,00635U,6,114,2982841,6.62
20180622,00635U,7,43,1592000,3.53
20180622,00635U,8,45,2119000,4.70
20180622,00635U,9,71,5208000,11.56
20180622,00635U,10,34,5268000,11.70
20180622,00635U,11,11,2978000,6.61
20180622,00635U,12,6,2858000,6.34
20180622,00635U,13,4,2810053,6.24
20180622,00635U,14,2,1668000,3.70
20180622,00635U,15,3,3243000,7.20
20180622,00635U,16,0,0,0.00
20180622,00635U,17,3690,45014000,100.00
20180622,00636,1,693,264591,0.03
20180622,00636,2,15162,37835867,5.60
20180622,00636,3,4444,37284289,5.52
20180622,00636,4,1555,20607141,3.05
20180622,00636,5,1311,24772257,3.66
20180622,00636,6,1098,28842312,4.27
20180622,00636,7,534,19674484,2.91
20180622,00636,8,445,21313505,3.15
20180622,00636,9,673,49751714,7.36
20180622,00636,10,296,43503118,6.44
20180622,00636,11,131,37502996,5.55
20180622,00636,12,33,15968000,2.36
20180622,00636,13,17,12133000,1.79
20180622,00636,14,8,7455310,1.10
20180622,00636,15,44,318516416,47.15
20180622,00636,16,0,0,0.00
20180622,00636,17,26444,675425000,100.00
20180622,00636K,1,19,7300,2.89
20180622,00636K,2,13,32100,12.73
20180622,00636K,3,0,0,0.00
20180622,00636K,4,0,0,0.00
20180622,00636K,5,0,0,0.00
20180622,00636K,6,1,27500,10.90
20180622,00636K,7,0,0,0.00
20180622,00636K,8,1,42500,16.85
20180622,00636K,9,2,142700,56.60
20180622,00636K,10,0,0,0.00
20180622,00636K,11,0,0,0.00
20180622,00636K,12,0,0,0.00
20180622,00636K,13,0,0,0.00
20180622,00636K,14,0,0,0.00
20180622,00636K,15,0,0,0.00
20180622,00636K,16,0,0,0.00
20180622,00636K,17,36,252100,100.00
20180622,00637L,1,80,16012,0.00
